temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
26.337499999999995,31.4,19.2625,87.25,234.50000000000003,84.3125,93.75,74.43,74.43,1,0,0
31.4875,42.0,19.337500000000002,61.375,64.9,57.6875,62.5,21.49,21.49,0,0,0
30.862499999999997,37.6,20.08125,44.6875,1.2999999999999998,66.0625,37.5,39.16,39.16,0,0,0
26.25,34.4,14.125,30.875,0.0,55.0625,0.0,78.82,78.82,1,0,0
26.86875,33.2,18.35,93.1875,272.3,85.8125,100.0,32.19,32.19,0,0,0
26.668750000000006,32.6,15.1625,80.75,111.6,87.5625,100.0,98.64,98.64,6,1,1
27.068750000000005,33.4,12.962499999999999,66.1875,78.2,86.875,100.0,100.0,100.0,6,1,1
26.506249999999998,31.1,20.175,92.625,565.0,91.75,100.0,47.14,47.14,0,0,0
29.718749999999996,40.3,18.225,16.875,0.5,54.9375,12.5,52.02,52.02,0,0,0
29.393750000000004,42.2,19.93125,14.375,0.0,55.4375,0.0,43.82,43.82,0,0,0
24.749999999999996,36.0,15.256250000000003,26.5625,2.3,56.875,18.75,67.49,67.49,0,0,0
28.806250000000002,33.7,14.925000000000002,63.375,35.9,79.5,93.75,34.02,34.02,0,0,0
24.506250000000005,32.0,12.61875,38.25,3.5,71.0625,18.75,85.28,85.28,4,1,0
26.00625,29.8,20.756249999999998,95.5,514.1,90.5625,100.0,77.11,77.11,1,0,0
26.468749999999996,38.8,19.3125,9.25,0.0,43.9375,0.0,63.42,63.42,0,0,0
26.16875,29.7,18.06875,91.125,328.2,91.5,100.0,97.64,97.64,6,1,1
29.5125,37.4,18.23125,67.9375,64.8,72.375,93.75,31.79,31.79,0,0,0
26.806250000000002,31.9,18.475,91.4375,414.90000000000003,90.5,100.0,45.56,45.56,0,0,0
24.456249999999997,32.6,10.481249999999998,37.6875,1.5,71.0,12.5,85.02,85.02,4,1,0
26.237500000000004,29.8,18.412499999999998,84.9375,197.5,90.0,100.0,96.25,96.25,6,1,1
32.368750000000006,42.3,17.04375,23.8125,12.899999999999999,62.5,68.75,29.83,29.83,0,0,0
25.9125,34.4,10.493749999999999,44.375,16.2,64.0625,25.0,85.02,85.02,4,1,0
27.5,33.3,16.46875,76.6875,369.3,86.125,100.0,26.7,26.7,0,0,0
25.8125,28.7,17.3375,96.5,420.7,92.5,100.0,97.95,97.95,6,1,1
26.6375,33.6,13.631249999999996,93.0625,276.3,89.25,100.0,99.64,99.64,6,1,1
26.006250000000005,31.6,19.249999999999996,94.25,727.4999999999999,92.0625,100.0,89.41,89.41,4,1,1
32.61875,42.3,17.04375,30.25,12.599999999999998,63.8125,81.25,28.67,28.67,0,0,0
26.012500000000003,29.1,18.125000000000004,89.3125,283.20000000000005,91.0,100.0,99.51,99.51,6,1,1
28.550000000000004,39.5,16.35625,9.875,0.8,34.125,6.25,58.56,58.56,0,0,0
25.34375,29.5,17.218749999999996,99.0625,497.9,91.5625,100.0,59.19,59.19,0,0,0
23.4875,33.7,12.4125,10.0,0.0,56.625,0.0,72.89,72.89,1,0,0
24.55625,32.6,10.399999999999999,41.4375,3.3,72.375,18.75,85.28,85.28,4,1,0
26.856249999999996,33.1,12.131250000000001,76.875,99.2,88.625,100.0,100.0,100.0,6,1,1
28.4125,35.5,11.725,26.0625,0.5,72.9375,12.5,96.84,96.84,6,1,1
26.6375,30.1,20.187499999999993,87.0625,87.89999999999999,85.8125,100.0,82.59,82.59,1,0,1
